col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8880658436213993,0.40240807464055506,0.5333333333333333,0.27586206896551724,0.36363636363636365,0.7018518518518518,0.8418079096045198,141,21,7,8,0.8703703703703703,0.5333333333333333,0.9527027027027027,0.30376379780785556,0.28360797918473546
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8880658436213993,0.40240807464055506,0.5333333333333333,0.27586206896551724,0.36363636363636365,0.7018518518518518,0.8418079096045198,141,21,7,8,0.8703703703703703,0.5333333333333333,0.9527027027027027,0.30376379780785556,0.28360797918473546
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8654320987654321,0.2473843642518783,0.4666666666666667,0.23333333333333334,0.31111111111111117,0.6623456790123456,0.8248587570621468,139,23,8,7,0.8580246913580247,0.4666666666666667,0.9455782312925171,0.24102082666170094,0.2233545647558387
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8654320987654321,0.2473843642518783,0.4666666666666667,0.23333333333333334,0.31111111111111117,0.6623456790123456,0.8248587570621468,139,23,8,7,0.8580246913580247,0.4666666666666667,0.9455782312925171,0.24102082666170094,0.2233545647558387
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8699588477366256,0.2667539351977933,0.6666666666666666,0.3225806451612903,0.4347826086956521,0.7685185185185185,0.8531073446327684,141,21,5,10,0.8703703703703703,0.6666666666666666,0.9657534246575342,0.39350485960446757,0.36189683860232946
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8699588477366256,0.2667539351977933,0.6666666666666666,0.3225806451612903,0.4347826086956521,0.7685185185185185,0.8531073446327684,141,21,5,10,0.8703703703703703,0.6666666666666666,0.9657534246575342,0.39350485960446757,0.36189683860232946
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8884773662551441,0.408189066414555,0.6666666666666666,0.3125,0.425531914893617,0.7654320987654321,0.847457627118644,140,22,5,10,0.8641975308641975,0.6666666666666666,0.9655172413793104,0.3841736583168765,0.35059111292295153
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8884773662551441,0.408189066414555,0.6666666666666666,0.3125,0.425531914893617,0.7654320987654321,0.847457627118644,140,22,5,10,0.8641975308641975,0.6666666666666666,0.9655172413793104,0.3841736583168765,0.35059111292295153
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8971193415637859,0.41232893269499193,0.7333333333333333,0.2682926829268293,0.3928571428571429,0.774074074074074,0.807909604519774,132,30,4,11,0.8148148148148148,0.7333333333333333,0.9705882352941176,0.3618592723017351,0.3068417415342086
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8971193415637859,0.41232893269499193,0.7333333333333333,0.2682926829268293,0.3928571428571429,0.774074074074074,0.807909604519774,132,30,4,11,0.8148148148148148,0.7333333333333333,0.9705882352941176,0.3618592723017351,0.3068417415342086
