col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8358024691358025,0.25804316481653994,0.4,0.2727272727272727,0.3243243243243243,0.6506172839506172,0.8587570621468926,146,16,9,6,0.9012345679012346,0.4,0.9419354838709677,0.25429086245549376,0.24859908303616907
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8473251028806585,0.23291704986676814,0.4666666666666667,0.23333333333333334,0.31111111111111117,0.6623456790123456,0.8248587570621468,139,23,8,7,0.8580246913580247,0.4666666666666667,0.9455782312925171,0.24102082666170094,0.2233545647558387
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.81440329218107,0.21812228073013287,0.4,0.2608695652173913,0.31578947368421056,0.6475308641975308,0.8531073446327684,145,17,9,6,0.8950617283950617,0.4,0.9415584415584416,0.24439467579070645,0.2375745526838966
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.8045267489711934,0.2696136492967064,0.5333333333333333,0.27586206896551724,0.36363636363636365,0.7018518518518518,0.8418079096045198,141,21,7,8,0.8703703703703703,0.5333333333333333,0.9527027027027027,0.30376379780785556,0.28360797918473546
col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,cohen_kappa
activity_1uM_activity,0.7654320987654322,0.17014782962152786,0.26666666666666666,0.19047619047619047,0.2222222222222222,0.5808641975308642,0.8418079096045198,145,17,11,4,0.8950617283950617,0.26666666666666666,0.9294871794871795,0.13928920737218722,0.13688610240334376
